Date,Open,High,Low,Close,Adj Close,Volume
2024-03-07,14.204760,14.483605,13.561335,13.921242,13.921242,461282361
2024-03-08,13.921114,13.996966,12.956679,13.421887,13.421887,325471563
2024-03-09,13.421887,13.909486,13.343902,13.378081,13.378081,262391486
2024-03-10,13.378219,13.563613,12.897593,13.171441,13.171441,258314230
2024-03-11,13.171306,13.849626,12.792231,13.711905,13.711905,392814617
2024-03-12,13.711905,13.806858,12.837041,13.414415,13.414415,341212549
2024-03-13,13.414415,14.119289,13.291600,14.119289,14.119289,287600862
2024-03-14,14.119918,14.237274,12.999910,13.656614,13.656614,444037386
2024-03-15,13.656904,13.810208,11.963837,12.624008,12.624008,525887843
2024-03-16,12.624008,12.853197,11.660902,11.930628,11.930628,339308420
2024-03-17,11.930628,12.379081,11.550504,12.268336,12.268336,257982673
2024-03-18,12.268336,12.417779,11.555168,11.730895,11.730895,239920937
2024-03-19,11.731116,11.811757,10.663555,10.878710,10.878710,430033241
2024-03-20,10.878980,11.784366,10.717402,11.749961,11.749961,311596341
2024-03-21,11.749962,11.969562,11.524271,11.634141,11.634141,214774108
2024-03-22,11.634305,11.832610,11.114379,11.389865,11.389865,202778374
2024-03-23,11.389865,11.626521,11.264743,11.343890,11.343890,126935709
2024-03-24,11.344023,11.672760,11.290361,11.611394,11.611394,129333102
2024-03-25,11.611163,12.290008,11.546039,12.185326,12.185326,201101428
2024-03-26,12.185326,12.374501,11.951120,12.216667,12.216667,278934169
2024-03-27,12.216580,12.999435,11.850065,12.639974,12.639974,414903468
2024-03-28,12.639979,12.639997,12.198540,12.298833,12.298833,258895396
2024-03-29,12.299233,12.612522,12.075138,12.532543,12.532543,265540367
2024-03-30,12.532543,12.836912,12.235272,12.269066,12.269066,163542832
2024-03-31,12.268799,12.398065,12.161225,12.295456,12.295456,116469305
2024-04-01,12.295068,12.377783,11.406914,11.654643,11.654643,236581300
2024-04-02,11.654621,11.655393,10.833769,10.973050,10.973050,248639565
2024-04-03,10.973050,11.233330,10.665047,10.840879,10.840879,186408393
2024-04-04,10.840879,11.270659,10.675078,11.015573,11.015573,176806839
2024-04-05,11.015573,11.049382,10.660545,10.906998,10.906998,167589952
2024-04-06,10.907186,11.175848,10.867070,11.110378,11.110378,94168950
2024-04-07,11.110274,11.233468,10.945847,11.085117,11.085117,111140100
2024-04-08,11.085155,11.399018,10.929209,11.305078,11.305078,153433046
2024-04-09,11.305078,11.318263,10.778274,10.835424,10.835424,156551037
2024-04-10,10.835227,10.870950,10.442923,10.810778,10.810778,170983793
2024-04-11,10.810780,10.941591,10.610740,10.755186,10.755186,121139518
2024-04-12,10.755186,10.889538,8.929273,9.387263,9.387263,376276736
2024-04-13,9.387201,9.387201,7.307923,8.092050,8.092050,685706148
